,,,,,,,,,
,,Characteristics of excess return on household private equity portfolio (in annual units),,,,,,,
,,Expected,Standard,Share of,Sharpe,,,,
,,excess return (%),deviation (%),idiosyncratic,ratio,,,,
,,,,risk (%),,,,,
,,-1,-2,-3,-4,,,,
,Wealth group,,,,,,,,
,P0-P10,10.79,67.3,82.3,0.177,,,,
,P10-P20,10.31,67.3,82.5,0.170,,,,
,P20-P30,10.06,63.6,82.8,0.173,,,,
,P30-P40,9.92,62.4,82.7,0.178,,,,
,P40-P50,10.05,59.2,82.7,0.183,,,,
,P50-P60,10.10,58.0,82.5,0.187,,,,
,P60-P70,10.00,56.1,82.3,0.191,,,,
,P70-P80,9.89,54.4,82.0,0.195,,,,
,P80-P90,9.64,51.8,81.5,0.199,,,,
,P90-P95,9.47,49.9,80.8,0.204,,,,
,P95-P97.5,9.46,48.8,80.3,0.209,,,,
,P97.5-P99,9.50,48.4,79.8,0.212,,,,
,P99-P99.5,9.49,47.8,79.7,0.215,,,,
,P99.5-P99.9,9.63,48.6,80.0,0.214,,,,
,P99.9-P99.99,9.83,50.6,80.9,0.208,,,,
,Top 0.01%,10.06,46.5,78.9,0.229,,,,
